(-5.60727,0)
(1.62208,0)
(9.59053,0)
(2.42086,0)
(28.3135,0)
(-10.7308,0)
(-11.1415,0)
(-13.5762,0)
(-6.81138,0)
(5.15861,0)
(2.73717,0)
(40.6468,0)
(49.2218,0)
(30.0779,0)
(-23.2427,0)
(43.1513,0)
(-20.6683,0)
(-32.7755,0)
(-14.4561,0)
(-41.3663,0)
(110.27,0)
(0.434185,0)
(-37.0652,0)
(-50.2284,0)
(41.6738,0)
(17.3435,0)
(-56.2312,0)
(46.6621,0)
(107.642,0)
(48.2123,0)
(-88.8653,0)
(73.9249,0)
(-50.5111,0)
(-76.8597,0)
(20.2023,0)
(-39.4154,0)
(103.993,0)
(-17.1274,0)
(-49.5339,0)
(-64.0031,0)
(78.1661,0)
(10.8934,0)
(-75.7478,0)
(29.044,0)
(86.0595,0)
(49.2011,0)
(-104.353,0)
(41.7537,0)
(-35.5012,0)
(-64.2387,0)
(27.7849,0)
(-45.6686,0)
(78.5185,0)
(-6.508,0)
(-46.8,0)
(-45.5125,0)
(86.8894,0)
(10.1608,0)
(-89.2072,0)
(46.0426,0)
(70.0094,0)
(38.9274,0)
(-97.3079,0)
(62.634,0)
(-23.2784,0)
(-41.3079,0)
(16.6443,0)
(-24.6492,0)
(45.1407,0)
(-3.53047,0)
(-31.8686,0)
(-41.9939,0)
(87.4426,0)
(-1.45054,0)
(-97.3162,0)
(20.4488,0)
(2.36319,0)
(21.3823,0)
(-72.7575,0)
(48.8297,0)
(-9.45578,0)
(-4.9023,0)
(10.3169,0)
(-0.267419,0)
(-11.8534,0)
(-2.75597,0)
(-7.65709,0)
(-25.4497,0)
(47.6261,0)
(5.26703,0)
(-35.7972,0)
(-12.0565,0)
(-7.12665,0)
(18.1544,0)
(2.24313,0)
(-8.4927,0)
(-0.70934,0)
(-17.7823,0)
(-22.8478,0)
(15.2837,0)
(-114.19,0)
(-15.6042,0)
(5.82784,0)
(80.8463,0)
(-37.4133,0)
(4.54333,0)
(-8.70419,0)
(-23.177,0)
(-87.7126,0)
(-37.2429,0)
(75.8348,0)
(40.8303,0)
(-36.8568,0)
(28.6146,0)
(-69.8909,0)
(15.537,0)
(-122.363,0)
(-24.4894,0)
(2.23259,0)
(222.123,0)
(-71.4244,0)
(-79.1794,0)
(89.4172,0)
(-35.1701,0)
(-152.789,0)
(0.777014,0)
(144.704,0)
(-24.5662,0)
(-63.3715,0)
(53.1152,0)
(-100.096,0)
(78.8806,0)
(-92.8977,0)
(-64.9733,0)
(25.516,0)
(260.242,0)
(-98.2443,0)
(-53.7938,0)
(170.894,0)
(-55.517,0)
(-80.3139,0)
(25.7133,0)
(138.57,0)
(3.72933,0)
(-134.405,0)
(25.8828,0)
(-134.98,0)
(43.4581,0)
(-40.6118,0)
(-69.8935,0)
(31.0659,0)
(231.447,0)
(-84.4626,0)
(-7.48767,0)
(155.452,0)
(-31.0261,0)
(16.6944,0)
(95.6157,0)
(82.3128,0)
(59.059,0)
(-150.269,0)
(-2.57187,0)
(-113.508,0)
(-13.2308,0)
(99.5789,0)
(-46.194,0)
(-10.1238,0)
(99.7429,0)
(-3.30191,0)
(-28.4252,0)
(91.7564,0)
(-76.2432,0)
(66.8796,0)
(87.401,0)
(-1.37395,0)
(-31.8948,0)
(-98.797,0)
(-48.2833,0)
(-30.4651,0)
(44.6307,0)
(36.0671,0)
(-40.6244,0)
(10.4337,0)
(16.7503,0)
(-4.21884,0)
(41.999,0)
(47.6729,0)
(-42.3683,0)
(43.4574,0)
(22.6386,0)
(-1.58976,0)
(-26.4285,0)
(40.6935,0)
(22.1519,0)
(8.91619,0)
(-18.6218,0)
(29.686,0)
(22.3828,0)
(28.8567,0)
(-33.1411,0)
(0.788256,0)
(-24.3009,0)
(-13.5383,0)
(3.71889,0)
(34.3901,0)
(-25.7577,0)
(-39.2726,0)
(-4.96299,0)
(109.757,0)
(46.1238,0)
(-15.8709,0)
(-70.1277,0)
(50.412,0)
(38.6261,0)
(49.4309,0)
(-71.6216,0)
(44.0596,0)
(-52.554,0)
(-44.6132,0)
(21.3359,0)
(15.26,0)
(-105.094,0)
(-57.4114,0)
(-45.3305,0)
(166.487,0)
(25.5129,0)
(27.8727,0)
(-57.0661,0)
(32.317,0)
(29.7373,0)
(23.5844,0)
(-51.2821,0)
(39.7153,0)
(-110.937,0)
(-43.858,0)
(96.9472,0)
(-46.8331,0)
(-129.487,0)
(-36.948,0)
(-31.8606,0)
(164.462,0)
(27.4323,0)
(-114.53,0)
(-34.2971,0)
(1.93503,0)
(75.2826,0)
(30.1761,0)
(25.3934,0)
(19.2849,0)
(-77.8861,0)
(-155.913,0)
(104.455,0)
(-99.4966,0)
(-98.4431,0)
(15.7048,0)
(49.8523,0)
(48.8522,0)
(27.2072,0)
(10.1716,0)
(2.76827,0)
(100.963,0)
(6.84128,0)
(-17.1879,0)
(61.3844,0)
(49.5102,0)
(-221,0)
(63.3288,0)
